"Kod";"Nazwa";"ogółem;2005;[-]";"ogółem;2006;[-]";"ogółem;2007;[-]";"ogółem;2008;[-]";"ogółem;2009;[-]";"ogółem;2010;[-]";"ogółem;2011;[-]";"ogółem;2012;[-]";"ogółem;2013;[-]";"ogółem;2014;[-]";"ogółem;2015;[-]";"ogółem;2016;[-]";"ogółem;2017;[-]";"ogółem;2018;[-]";"ogółem;2019;[-]";"ogółem;2020;[-]";"ogółem;2021;[-]";"ogółem;2022;[-]";"ogółem;2023;[-]";"ogółem;2024;[-]";"ogółem;2025;[-]";"mieszkanie;2005;[-]";"mieszkanie;2006;[-]";"mieszkanie;2007;[-]";"mieszkanie;2008;[-]";"mieszkanie;2009;[-]";"mieszkanie;2010;[-]";"mieszkanie;2011;[-]";"mieszkanie;2012;[-]";"mieszkanie;2013;[-]";"mieszkanie;2014;[-]";"mieszkanie;2015;[-]";"mieszkanie;2016;[-]";"mieszkanie;2017;[-]";"mieszkanie;2018;[-]";"mieszkanie;2019;[-]";"mieszkanie;2020;[-]";"mieszkanie;2021;[-]";"mieszkanie;2022;[-]";"mieszkanie;2023;[-]";"mieszkanie;2024;[-]";"mieszkanie;2025;[-]";
0000000;"POLSKA";102,1;101,0;102,5;104,2;103,5;102,6;104,3;103,7;100,9;100,0;99,1;99,4;102,0;101,6;102,3;103,4;105,1;114,4;111,4;103,6;103,6;103,3;103,8;103,5;107,5;107,2;103,3;105,5;105,2;101,7;101,1;100,5;99,4;101,6;101,8;101,4;105,8;106,5;120,0;113,4;104,8;105,6;
0200000;"DOLNOŚLĄSKIE";102,2;101,2;102,8;104,8;104,0;102,9;104,6;103,7;100,9;100,0;99,2;99,3;101,9;101,2;102,1;103,1;104,6;113,4;110,7;103,3;103,3;103,4;104,0;103,3;107,7;107,8;103,7;105,8;105,5;102,2;101,8;100,6;99,4;101,8;101,5;101,3;105,5;106,2;118,1;113,2;104,2;104,6;
0400000;"KUJAWSKO-POMORSKIE";102,0;100,9;102,3;104,4;103,3;102,6;104,6;103,7;101,1;99,8;99,1;99,5;102,0;101,6;102,3;103,6;105,1;115,6;110,8;103,6;104,0;103,1;103,8;103,1;108,3;107,3;103,4;106,0;104,4;102,0;100,7;100,4;99,9;101,6;101,8;101,1;105,7;106,4;124,9;111,2;104,7;105,1;
0600000;"LUBELSKIE";102,0;100,8;102,3;104,1;103,3;101,8;104,0;103,8;100,7;100,0;98,8;99,1;102,2;101,4;102,3;102,8;104,8;115,0;110,7;102,8;103,2;103,2;103,7;103,8;107,0;106,3;102,4;105,2;104,6;101,4;101,1;100,4;99,1;101,7;101,8;101,6;105,1;105,4;123,5;111,0;103,4;105,9;
0800000;"LUBUSKIE";102,3;101,1;102,9;104,2;103,4;102,8;104,1;103,8;101,3;100,5;99,6;99,8;102,2;102,0;102,5;103,0;105,3;113,6;112,4;104,4;104,0;104,3;104,7;103,8;107,3;106,7;103,6;105,0;104,8;102,6;101,4;101,3;100,1;101,5;102,0;101,3;104,7;106,5;117,4;114,6;106,3;106,5;
1000000;"ŁÓDZKIE";102,0;101,2;102,8;104,1;103,5;102,8;104,4;103,8;100,8;99,5;98,8;99,4;102,1;101,5;102,6;103,6;105,5;116,1;110,7;103,0;103,3;103,2;103,7;104,3;107,6;107,7;103,8;106,0;105,7;102,0;100,2;100,2;99,7;101,9;102,3;102,4;106,7;107,6;125,4;111,7;103,1;104,9;
1200000;"MAŁOPOLSKIE";102,2;101,1;102,4;104,3;103,5;102,6;104,3;103,6;100,8;99,9;99,2;99,6;102,1;102,2;102,9;104,3;105,9;114,9;111,8;104,2;103,8;103,8;104,6;103,8;108,3;107,7;103,4;105,1;105,2;100,7;100,9;100,6;99,0;101,8;102,3;102,1;107,5;108,3;119,8;115,2;107,0;106,7;
1400000;"MAZOWIECKIE";102,1;101,1;102,2;103,9;103,4;102,4;103,7;103,5;100,8;100,0;99,1;99,5;101,9;101,6;102,2;103,3;104,9;113,5;111,9;103,8;103,3;102,7;103,8;103,3;106,8;107,1;102,2;105,1;105,6;101,4;101,1;100,4;99,5;101,2;101,6;101,3;105,0;106,1;116,4;115,1;104,6;105,0;
1600000;"OPOLSKIE";102,2;101,2;102,6;104,4;103,5;102,8;104,4;103,7;100,7;99,7;98,9;99,4;102,2;101,7;102,3;103,1;105,2;115,8;110,2;102,8;103,9;103,8;104,2;104,0;109,2;108,0;103,2;105,0;104,7;101,6;100,7;100,3;99,0;103,1;102,2;100,7;105,3;107,4;126,3;110,9;101,9;105,4;
1800000;"PODKARPACKIE";102,3;101,3;102,7;104,4;103,9;103,2;104,9;104,1;100,7;100,2;98,9;99,1;102,1;101,6;102,3;103,2;104,6;113,6;111,5;104,0;104,2;103,7;105,3;103,6;107,5;107,8;103,6;106,0;105,4;100,9;101,3;100,0;98,7;101,0;101,8;101,6;105,1;105,1;116,9;114,5;106,0;106,8;
2000000;"PODLASKIE";102,0;100,9;102,3;104,3;103,2;102,3;104,5;103,7;100,6;99,7;98,7;99,0;102,1;101,4;102,4;103,0;105,0;114,1;110,8;103,3;103,4;103,3;103,1;102,5;107,1;105,2;103,3;105,7;104,7;102,0;100,6;99,7;98,8;101,7;101,3;101,5;105,8;107,3;117,7;112,6;104,6;105,3;
2200000;"POMORSKIE";101,7;100,7;102,3;103,9;102,4;102,6;104,1;103,4;100,9;99,9;99,2;99,7;102,1;101,9;101,9;103,4;104,9;113,9;111,5;103,8;103,8;103,2;103,1;103,6;107,6;105,2;103,6;105,9;105,0;102,4;100,9;100,8;100,0;101,3;101,4;100,5;106,2;105,4;118,3;113,7;104,6;105,4;
2400000;"ŚLĄSKIE";101,7;100,8;102,2;103,9;103,9;102,4;103,7;103,3;100,8;99,9;98,8;99,2;101,9;101,3;101,9;103,6;105,0;113,6;111,3;104,0;103,8;102,2;103,3;102,9;107,6;108,5;103,2;104,6;104,7;101,6;101,8;100,3;99,5;101,7;101,5;100,6;105,6;106,0;117,8;112,6;106,3;106,0;
2600000;"ŚWIĘTOKRZYSKIE";102,4;101,1;102,7;104,5;103,8;102,6;104,7;104,0;100,8;99,7;98,3;99,4;102,2;101,9;102,5;103,5;105,5;115,7;110,5;102,9;103,2;104,1;104,0;103,4;108,4;106,7;103,2;107,1;105,5;101,6;100,7;99,8;99,6;102,7;102,7;101,3;105,7;107,0;124,0;112,0;103,1;105,4;
