Rok;Miesiąc;Stopa referencyjna
1998;2;24.0
1998;3;24.0
1998;4;24.0
1998;5;23.0
1998;6;21.5
1998;7;21.5
1998;8;19.0
1998;9;19.0
1998;10;18.0
1998;11;17.0
1998;12;17.0
1999;1;15.5
1999;2;13.0
1999;3;13.0
1999;4;13.0
1999;5;13.0
1999;6;13.0
1999;7;13.0
1999;8;13.0
1999;9;13.0
1999;10;14.0
1999;11;14.0
1999;12;16.5
2000;1;16.5
2000;2;16.5
2000;3;17.5
2000;4;17.5
2000;5;17.5
2000;6;17.5
2000;7;17.5
2000;8;17.5
2000;9;19.0
2000;10;19.0
2000;11;19.0
2000;12;19.0
2001;1;19.0
2001;2;19.0
2001;3;18.0
2001;4;17.0
2001;5;17.0
2001;6;17.0
2001;7;15.5
2001;8;15.5
2001;9;14.5
2001;10;14.5
2001;11;13.0
2001;12;11.5
2002;1;11.5
2002;2;10.0
2002;3;10.0
2002;4;10.0
2002;5;9.5
2002;6;9.0
2002;7;8.5
2002;8;8.5
2002;9;8.0
2002;10;7.5
2002;11;7.0
2002;12;6.75
2003;1;6.75
2003;2;6.5
2003;3;6.25
2003;4;6.0
2003;5;5.75
2003;6;5.5
2003;7;5.25
2003;8;5.25
2003;9;5.25
2003;10;5.25
2003;11;5.25
2003;12;5.25
2004;1;5.25
2004;2;5.25
2004;3;5.25
2004;4;5.25
2004;5;5.25
2004;6;5.25
2004;7;5.75
2004;8;6.0
2004;9;6.5
2004;10;6.5
2004;11;6.5
2004;12;6.5
2005;1;6.5
2005;2;6.5
2005;3;6.5
2005;4;6.0
2005;5;5.5
2005;6;5.5
2005;7;5.0
2005;8;4.75
2005;9;4.5
2005;10;4.5
2005;11;4.5
2005;12;4.5
2006;1;4.5
2006;2;4.25
2006;3;4.0
2006;4;4.0
2006;5;4.0
2006;6;4.0
2006;7;4.0
2006;8;4.0
2006;9;4.0
2006;10;4.0
2006;11;4.0
2006;12;4.0
2007;1;4.0
2007;2;4.0
2007;3;4.0
2007;4;4.0
2007;5;4.25
2007;6;4.25
2007;7;4.5
2007;8;4.5
2007;9;4.75
2007;10;4.75
2007;11;4.75
2007;12;5.0
2008;1;5.0
2008;2;5.25
2008;3;5.5
2008;4;5.75
2008;5;5.75
2008;6;5.75
2008;7;6.0
2008;8;6.0
2008;9;6.0
2008;10;6.0
2008;11;6.0
2008;12;5.75
2009;1;5.0
2009;2;4.25
2009;3;4.0
2009;4;3.75
2009;5;3.75
2009;6;3.75
2009;7;3.5
2009;8;3.5
2009;9;3.5
2009;10;3.5
2009;11;3.5
2009;12;3.5
2010;1;3.5
2010;2;3.5
2010;3;3.5
2010;4;3.5
2010;5;3.5
2010;6;3.5
2010;7;3.5
2010;8;3.5
2010;9;3.5
2010;10;3.5
2010;11;3.5
2010;12;3.5
2011;1;3.5
2011;2;3.75
2011;3;3.75
2011;4;3.75
2011;5;4.0
2011;6;4.25
2011;7;4.5
2011;8;4.5
2011;9;4.5
2011;10;4.5
2011;11;4.5
2011;12;4.5
2012;1;4.5
2012;2;4.5
2012;3;4.5
2012;4;4.5
2012;5;4.5
2012;6;4.75
2012;7;4.75
2012;8;4.75
2012;9;4.75
2012;10;4.75
2012;11;4.75
2012;12;4.5
2013;1;4.25
2013;2;4.0
2013;3;3.75
2013;4;3.25
2013;5;3.25
2013;6;3.0
2013;7;2.75
2013;8;2.5
2013;9;2.5
2013;10;2.5
2013;11;2.5
2013;12;2.5
2014;1;2.5
2014;2;2.5
2014;3;2.5
2014;4;2.5
2014;5;2.5
2014;6;2.5
2014;7;2.5
2014;8;2.5
2014;9;2.5
2014;10;2.5
2014;11;2.0
2014;12;2.0
2015;1;2.0
2015;2;2.0
2015;3;2.0
2015;4;1.5
2015;5;1.5
2015;6;1.5
2015;7;1.5
2015;8;1.5
2015;9;1.5
2015;10;1.5
2015;11;1.5
2015;12;1.5
2016;1;1.5
2016;2;1.5
2016;3;1.5
2016;4;1.5
2016;5;1.5
2016;6;1.5
2016;7;1.5
2016;8;1.5
2016;9;1.5
2016;10;1.5
2016;11;1.5
2016;12;1.5
2017;1;1.5
2017;2;1.5
2017;3;1.5
2017;4;1.5
2017;5;1.5
2017;6;1.5
2017;7;1.5
2017;8;1.5
2017;9;1.5
2017;10;1.5
2017;11;1.5
2017;12;1.5
2018;1;1.5
2018;2;1.5
2018;3;1.5
2018;4;1.5
2018;5;1.5
2018;6;1.5
2018;7;1.5
2018;8;1.5
2018;9;1.5
2018;10;1.5
2018;11;1.5
2018;12;1.5
2019;1;1.5
2019;2;1.5
2019;3;1.5
2019;4;1.5
2019;5;1.5
2019;6;1.5
2019;7;1.5
2019;8;1.5
2019;9;1.5
2019;10;1.5
2019;11;1.5
2019;12;1.5
2020;1;1.5
2020;2;1.5
2020;3;1.5
2020;4;1.0
2020;5;0.5
2020;6;0.1
2020;7;0.1
2020;8;0.1
2020;9;0.1
2020;10;0.1
2020;11;0.1
2020;12;0.1
2021;1;0.1
2021;2;0.1
2021;3;0.1
2021;4;0.1
2021;5;0.1
2021;6;0.1
2021;7;0.1
2021;8;0.1
2021;9;0.1
2021;10;0.1
2021;11;0.5
2021;12;1.25
2022;1;1.75
2022;2;2.25
2022;3;2.75
2022;4;3.5
2022;5;4.5
2022;6;5.25
2022;7;6.0
2022;8;6.5
2022;9;6.5
2022;10;6.75
2022;11;6.75
2022;12;6.75
2023;1;6.75
2023;2;6.75
2023;3;6.75
2023;4;6.75
2023;5;6.75
2023;6;6.75
2023;7;6.75
2023;8;6.75
2023;9;6.75
2023;10;6.0
2023;11;5.75
2023;12;5.75
2024;1;5.75
2024;2;5.75
2024;3;5.75
2024;4;5.75
2024;5;5.75
2024;6;5.75
2024;7;5.75
2024;8;5.75
2024;9;5.75
2024;10;5.75
2024;11;5.75
2024;12;5.75
2025;1;5.75
2025;2;5.75
2025;3;5.75
2025;4;5.75
2025;5;5.75
2025;6;5.25
2025;7;5.25
2025;8;5.0
2025;9;5.0
2025;10;4.75
2025;11;4.5
2025;12;4.25
2026;1;4.0
2026;2;4.0
2026;3;4.0
