Kod;Nazwa;Rok;ogółem
000000000000;POLSKA OGÓŁEM;2005;102.1
000000000000;POLSKA OGÓŁEM;2006;101.0
000000000000;POLSKA OGÓŁEM;2007;102.5
000000000000;POLSKA OGÓŁEM;2008;104.2
000000000000;POLSKA OGÓŁEM;2009;103.5
000000000000;POLSKA OGÓŁEM;2010;102.6
000000000000;POLSKA OGÓŁEM;2011;104.3
000000000000;POLSKA OGÓŁEM;2012;103.7
000000000000;POLSKA OGÓŁEM;2013;100.9
000000000000;POLSKA OGÓŁEM;2014;100.0
000000000000;POLSKA OGÓŁEM;2015;99.1
000000000000;POLSKA OGÓŁEM;2016;99.4
000000000000;POLSKA OGÓŁEM;2017;102.0
000000000000;POLSKA OGÓŁEM;2018;101.6
000000000000;POLSKA OGÓŁEM;2019;102.3
000000000000;POLSKA OGÓŁEM;2020;103.4
000000000000;POLSKA OGÓŁEM;2021;105.1
000000000000;POLSKA OGÓŁEM;2022;114.4
000000000000;POLSKA OGÓŁEM;2023;111.4
000000000000;POLSKA OGÓŁEM;2024;103.6
000000000000;POLSKA OGÓŁEM;2025;103.6
011200000000;MAŁOPOLSKIE;2005;102.2
011200000000;MAŁOPOLSKIE;2006;101.1
011200000000;MAŁOPOLSKIE;2007;102.4
011200000000;MAŁOPOLSKIE;2008;104.3
011200000000;MAŁOPOLSKIE;2009;103.5
011200000000;MAŁOPOLSKIE;2010;102.6
011200000000;MAŁOPOLSKIE;2011;104.3
011200000000;MAŁOPOLSKIE;2012;103.6
011200000000;MAŁOPOLSKIE;2013;100.8
011200000000;MAŁOPOLSKIE;2014;99.9
011200000000;MAŁOPOLSKIE;2015;99.2
011200000000;MAŁOPOLSKIE;2016;99.6
011200000000;MAŁOPOLSKIE;2017;102.1
011200000000;MAŁOPOLSKIE;2018;102.2
011200000000;MAŁOPOLSKIE;2019;102.9
011200000000;MAŁOPOLSKIE;2020;104.3
011200000000;MAŁOPOLSKIE;2021;105.9
011200000000;MAŁOPOLSKIE;2022;114.9
011200000000;MAŁOPOLSKIE;2023;111.8
011200000000;MAŁOPOLSKIE;2024;104.2
011200000000;MAŁOPOLSKIE;2025;103.8
012400000000;ŚLĄSKIE;2005;101.7
012400000000;ŚLĄSKIE;2006;100.8
012400000000;ŚLĄSKIE;2007;102.2
012400000000;ŚLĄSKIE;2008;103.9
012400000000;ŚLĄSKIE;2009;103.9
012400000000;ŚLĄSKIE;2010;102.4
012400000000;ŚLĄSKIE;2011;103.7
012400000000;ŚLĄSKIE;2012;103.3
012400000000;ŚLĄSKIE;2013;100.8
012400000000;ŚLĄSKIE;2014;99.9
012400000000;ŚLĄSKIE;2015;98.8
012400000000;ŚLĄSKIE;2016;99.2
012400000000;ŚLĄSKIE;2017;101.9
012400000000;ŚLĄSKIE;2018;101.3
012400000000;ŚLĄSKIE;2019;101.9
012400000000;ŚLĄSKIE;2020;103.6
012400000000;ŚLĄSKIE;2021;105.0
012400000000;ŚLĄSKIE;2022;113.6
012400000000;ŚLĄSKIE;2023;111.3
012400000000;ŚLĄSKIE;2024;104.0
012400000000;ŚLĄSKIE;2025;103.8
020800000000;LUBUSKIE;2005;102.3
020800000000;LUBUSKIE;2006;101.1
020800000000;LUBUSKIE;2007;102.9
020800000000;LUBUSKIE;2008;104.2
020800000000;LUBUSKIE;2009;103.4
020800000000;LUBUSKIE;2010;102.8
020800000000;LUBUSKIE;2011;104.1
020800000000;LUBUSKIE;2012;103.8
020800000000;LUBUSKIE;2013;101.3
020800000000;LUBUSKIE;2014;100.5
020800000000;LUBUSKIE;2015;99.6
020800000000;LUBUSKIE;2016;99.8
020800000000;LUBUSKIE;2017;102.2
020800000000;LUBUSKIE;2018;102.0
020800000000;LUBUSKIE;2019;102.5
020800000000;LUBUSKIE;2020;103.0
020800000000;LUBUSKIE;2021;105.3
020800000000;LUBUSKIE;2022;113.6
020800000000;LUBUSKIE;2023;112.4
020800000000;LUBUSKIE;2024;104.4
020800000000;LUBUSKIE;2025;104.0
023000000000;WIELKOPOLSKIE;2005;102.1
023000000000;WIELKOPOLSKIE;2006;100.7
023000000000;WIELKOPOLSKIE;2007;102.4
023000000000;WIELKOPOLSKIE;2008;104.7
023000000000;WIELKOPOLSKIE;2009;103.6
023000000000;WIELKOPOLSKIE;2010;102.8
023000000000;WIELKOPOLSKIE;2011;104.7
023000000000;WIELKOPOLSKIE;2012;104.0
023000000000;WIELKOPOLSKIE;2013;101.1
023000000000;WIELKOPOLSKIE;2014;100.2
023000000000;WIELKOPOLSKIE;2015;98.9
023000000000;WIELKOPOLSKIE;2016;99.4
023000000000;WIELKOPOLSKIE;2017;102.3
023000000000;WIELKOPOLSKIE;2018;101.8
023000000000;WIELKOPOLSKIE;2019;102.6
023000000000;WIELKOPOLSKIE;2020;103.5
023000000000;WIELKOPOLSKIE;2021;105.3
023000000000;WIELKOPOLSKIE;2022;115.2
023000000000;WIELKOPOLSKIE;2023;111.6
023000000000;WIELKOPOLSKIE;2024;104.0
023000000000;WIELKOPOLSKIE;2025;103.7
023200000000;ZACHODNIOPOMORSKIE;2005;101.8
023200000000;ZACHODNIOPOMORSKIE;2006;100.9
023200000000;ZACHODNIOPOMORSKIE;2007;102.4
023200000000;ZACHODNIOPOMORSKIE;2008;104.2
023200000000;ZACHODNIOPOMORSKIE;2009;103.7
023200000000;ZACHODNIOPOMORSKIE;2010;102.7
023200000000;ZACHODNIOPOMORSKIE;2011;104.3
023200000000;ZACHODNIOPOMORSKIE;2012;103.7
023200000000;ZACHODNIOPOMORSKIE;2013;100.9
023200000000;ZACHODNIOPOMORSKIE;2014;100.3
023200000000;ZACHODNIOPOMORSKIE;2015;99.7
023200000000;ZACHODNIOPOMORSKIE;2016;99.1
023200000000;ZACHODNIOPOMORSKIE;2017;101.4
023200000000;ZACHODNIOPOMORSKIE;2018;101.4
023200000000;ZACHODNIOPOMORSKIE;2019;102.3
023200000000;ZACHODNIOPOMORSKIE;2020;103.6
023200000000;ZACHODNIOPOMORSKIE;2021;104.8
023200000000;ZACHODNIOPOMORSKIE;2022;113.1
023200000000;ZACHODNIOPOMORSKIE;2023;112.7
023200000000;ZACHODNIOPOMORSKIE;2024;103.8
023200000000;ZACHODNIOPOMORSKIE;2025;104.1
030200000000;DOLNOŚLĄSKIE;2005;102.2
030200000000;DOLNOŚLĄSKIE;2006;101.2
030200000000;DOLNOŚLĄSKIE;2007;102.8
030200000000;DOLNOŚLĄSKIE;2008;104.8
030200000000;DOLNOŚLĄSKIE;2009;104.0
030200000000;DOLNOŚLĄSKIE;2010;102.9
030200000000;DOLNOŚLĄSKIE;2011;104.6
030200000000;DOLNOŚLĄSKIE;2012;103.7
030200000000;DOLNOŚLĄSKIE;2013;100.9
030200000000;DOLNOŚLĄSKIE;2014;100.0
030200000000;DOLNOŚLĄSKIE;2015;99.2
030200000000;DOLNOŚLĄSKIE;2016;99.3
030200000000;DOLNOŚLĄSKIE;2017;101.9
030200000000;DOLNOŚLĄSKIE;2018;101.2
030200000000;DOLNOŚLĄSKIE;2019;102.1
030200000000;DOLNOŚLĄSKIE;2020;103.1
030200000000;DOLNOŚLĄSKIE;2021;104.6
